prompt,generated_text,num_tokens,generation_time,total_empirical_entropy,prc_watermark_detected,log_diversity,perplexity,undetectable_watermark_detected,substring_complete_watermark_detected,Prompt #,Prompt Preview,Tokens,Gen Time (s),Perplexity,Log Diversity,Avg Shannon (bits),Avg Empirical (bits)
"The woman who died after falling from a bridge over the A21 has been identified as a Sevenoaks mum.
Marta Kendle, 37",", lost her battle with injuries on the M2A5 Bridge at Longbridge on July 24 after the car she was in fell off a height of around eight metres.
She was a mother of two, as well as a nurse, and lived in the village of Selsdon with her children, William, 12, and Ava, 5.
She was travelling to work when the accident happened and she died at Kent and Medway NHS Trust hospital in Swanscombe on Thursday, a spokesman said.
Fellow nurse and friend, who wished to remain anonymous, said: ""It's a tragic thing that has happened. She was such a lovely, kind, generous soul who would go out of her way to help people.
",150,31.92,248.2561263795942,False,0.9130001905932972,9.310968399047852,False,False,1,The woman who died after falling from a bridg...,150,31.92,9.31,0.913,0.0,0.0
"messaging system designed as a plugin-based system.
Doubtless the kopete people would disagree with me here, but I'd say"," they're on pretty solid ground.
It all comes down to a combination of good marketing and good development:
Good marketing, because, really, there's just one kind of ""software"" that's ever sold — software that provides benefits, which means it needs to be marketed as benefits, not features.
Great development.
Posted in Software
Tagged with marketing, OpenMRS
Posted on 24 October, 2011 by Peter
I've been invited to join the steering committee for this new blog by the person in charge of OpenMRS — Jim Kim, the MD.
We'll probably meet online and then, if we're all still on board, we'll eventually meet at the ODI to discuss things.
It sounds",150,34.06,352.5335595905781,False,0.9150471366520682,12.766020774841309,False,False,2,messaging system designed as a plugin-based s...,150,34.06,12.77,0.915,0.0,0.0
"CHARLES H. MEISNER, one of the prosperous and highly-esteemed business men of Birnamwood, Shawano county, was born"," here, on the twenty-ninth day of January, 1833. He lived here until he was five years old, when he was moved to Oshkosh, and was educated there until the age of fifteen. He was then removed to Milwaukee, and was educated there for two years, at a school in the village of Menomonee Falls, and two years at a private school in Waukesha. In October 1847, he was sent to New York City, to study bookkeeping in the office of a respected member of the mercantile firm of H. E. and W. A. Leffingwell. He remained in New York for about a year and a half, while finishing his course, and then",150,34.06,220.82305132225156,False,0.8866443067059456,5.682168483734131,False,False,3,"CHARLES H. MEISNER, one of the prosperous and...",150,34.06,5.68,0.8866,0.0,0.0
"EVER WONDER WHY SOME PEOPLE CAN WORK NIGHTS AND SLEEP EASILY DURING THE DAY?
A new study from"," the University of Massachusetts Medical School (UMMS), published in the journal Current Biology, reveals that a molecule known as the protein arginine vasopressin (AVP), also known as the ""bedtime"" hormone, can suppress sleep and promote wakefulness. Scientists previously believed that it was the opposite: that AVP was primarily a wake-promoting hormone.
""We discovered that AVP acts on neurons in the brain to suppress sleep,"" said lead author Paul Kelley, PhD, senior lecturer at UMMS. ""AVP and its receptor are concentrated in a brain region that is responsible for sleep, and when it was activated, sleep was suppressed.""
The researchers found that in the brain, AVP and its receptors are primarily",150,34.13,214.5503303091973,False,0.9045957702197481,5.246639251708984,False,False,4,EVER WONDER WHY SOME PEOPLE CAN WORK NIGHTS A...,150,34.13,5.25,0.9046,0.0,0.0
"Conduct effective product control and valuation control of treasury products and derivatives in banking book.
Duties include daily P&L reporting and analysis, balance"," sheet analysis, and treasury operations management. In addition, they review and approve treasury transactions and are responsible for maintaining treasury and bank relationship.
Treasury managers are also responsible for ensuring that proper cash flow management procedures are in place. They work with customers to ensure that funds are available when needed.
Treasury managers need a bachelor's degree and must meet regulatory and compliance standards.
Financial advisors help individuals and corporations manage their money, including investments, insurance, mortgages and other financial products. Their advice is intended to increase the financial well-being of their clients.
Financial advisors must be able to understand and explain financial products to clients. They also must have excellent communication skills so that they can effectively explain how to use financial products to meet their clients",150,34.07,239.42365574091673,False,0.9024381763280207,6.279017448425293,False,False,5,Conduct effective product control and valuati...,150,34.07,6.28,0.9024,0.0,0.0
Stayed here about four years ago and they helped me out this weekend. Thankfully Citadines had a double apartment room for our stay. Usual," staff at Citadines, very helpful and clean. Thanks again Citadines.
My daughter and I stayed a week at Citadines recently. The staff and accommodation was great – we'd recommend it very highly to other families going on holiday in Dubai!
This is the best accommodation I have stayed at for over a decade and I will recommend it to anyone I meet.",78,19.2,154.6127240471542,False,0.9051569421004246,11.9181489944458,False,False,6,Stayed here about four years ago and they hel...,78,19.2,11.92,0.9052,0.0,0.0
"It’s the end of the world,” said the caterpillar.
“It’s the beginning of the world,","” said the butterfly.
The caterpillar was right. The world as we know it will be altered. A lot of people will experience hardships that have never been experienced before. But, we also have a chance to rebuild the world that we want to see.
If the world is to be a better place, we need to build our world differently. To do this, we need to create a world that supports our individual wellbeing and the wellbeing of all people. Here are 5 ways to do this.
First, we need to focus on education. Education is the foundation for understanding the world around us. Without a good education, we will never truly understand how to work together to create a better world.
Second, we need to",150,34.09,216.5818135906011,False,0.8770243485591871,6.076173782348633,False,False,7,"It’s the end of the world,” said the caterpil...",150,34.09,6.08,0.877,0.0,0.0
"Fasnet 2015: Spindrift & Prince de Bretagne, ""Neck to neck""
Spindrift reports that After 48 hours of"," riding the race was neck and neck, with both riders struggling to cover the mountainous course.
Spindrift and Prince de Bretagne are riding a close gap, however in a last-ditch move in the penultimate climb, Spindrift dropped his chum but then had to give way to another rider in a move that left him in danger of colliding with other competitors.
Spindrift finished fifth and Prince de Bretagne, who dropped out just before the finish line, finished sixth.
RIDE ON! (2016): Mere Morte & Vrijman de Nood, ""A little bit of luck""
Mere Morte was the only Dutch rider at the 2015 Paris–Nice race and it was",150,34.09,324.2990853562951,False,0.9210649440558948,16.730981826782227,False,False,8,"Fasnet 2015: Spindrift & Prince de Bretagne, ...",150,34.09,16.73,0.9211,0.0,0.0
"As the nation’s largest no-reserve internet auction firm specializing in construction and agricultural equipment, Purple Wave is focused on transforming the way in"," which rural infrastructure is financed, developed, owned and serviced.
Purple Wave is dedicated to serving contractors in rural areas who are unable to access conventional lending products and markets. As an experienced leader in no-reserve equipment auctions, we leverage technology to help contractors access new opportunities that match their specific needs, allowing them to obtain the equipment they require to complete their projects.
Purple Wave provides contractors with direct access to auction sites where equipment is available, allowing them to find what they need in one place. This service gives contractors the advantage of avoiding overpriced, over-market equipment and making sure that their projects are completed on time and within budget.
Purple Wave’s commitment to excellence and the satisfaction of its customers is",150,34.15,267.8778288215399,False,0.908842217466139,11.634934425354004,False,False,9,As the nation’s largest no-reserve internet a...,150,34.15,11.63,0.9088,0.0,0.0
"Stretch Therapy (ST) is a comprehensive system that includes stretching, fascia remodelling, strengthening, neural re-patterning, and relaxation. We"," are all born with an efficient and balanced fascial system. Yet due to lifestyle and environmental factors, this system can become unbalanced and less efficient.
Stretching is not just about extending and lengthening tight muscles. It is a whole process that is designed to reestablish an ideal balance, mobility, elasticity, and function for the muscles. In addition to relieving tight muscles, stretching can also help with range of motion, posture, gait, sports performance and the pain associated with them.
Fascia is the soft connective tissue that surrounds and supports every muscle in our body. The myofascial system is the body’s support framework and is involved in every physical activity we undertake. It is often",150,34.01,257.4126650262624,False,0.9210649440558948,7.348753929138184,False,False,10,Stretch Therapy (ST) is a comprehensive syste...,150,34.01,7.35,0.9211,0.0,0.0
